"Timestamp","Gender","Faculty","What's your current C-GPA?","When it comes to preparing for exams or completing assignments, do you tend to study last minute or plan your study sessions well in advance?","How often do you procrastinate when it comes to studying?"
"2024/03/06 11:04:30 PM GMT+2","Male","Engineering","3.92","No","Often"
"2024/03/06 11:28:52 PM GMT+2","Female","CIS","2.35","Yes","Always"
"2024/03/06 11:46:42 PM GMT+2","Male","CIS","2.6","Yes","Always"
"2024/03/06 11:55:53 PM GMT+2","Male","CIS","2.58","Last minute","Always"
"2024/03/07 12:00:38 AM GMT+2","Female","Digital Arts and Designs","3.3","Last minute","Often"
"2024/03/07 12:41:15 AM GMT+2","Male","CIS","3.63","In advance","Sometimes"
"2024/03/07 12:43:40 AM GMT+2","Male","CIS","3.91","In advance","Often"
"2024/03/07 12:57:49 AM GMT+2","Male","Engineering","3.97","In advance","Often"
"2024/03/07 1:08:00 AM GMT+2","Male","Engineering","3.95","In advance","Sometimes"
"2024/03/07 1:10:11 AM GMT+2","Male","Engineering","3.8","In advance","Always"
"2024/03/07 7:51:17 AM GMT+2","Male","CIS","2","Last minute","Often"
"2024/03/07 8:07:33 AM GMT+2","Male","Engineering","2.13","Last minute","Never"
"2024/03/07 8:49:21 AM GMT+2","Male","CIS","3.89","In advance","Sometimes"
"2024/03/07 9:32:35 AM GMT+2","Male","CIS","3.86","In advance","Sometimes"
"2024/03/07 9:52:09 AM GMT+2","Male","CIS","2.3","Last minute","Often"
"2024/03/07 9:59:11 AM GMT+2","Female","CIS","3.68","Last minute","Always"
"2024/03/07 10:37:33 AM GMT+2","Male","CIS","3.14","Last minute","Always"
"2024/03/07 11:35:23 AM GMT+2","Male","CIS","2.3","Last minute","Often"
"2024/03/07 11:56:01 AM GMT+2","Male","CIS","2.4","Last minute","Sometimes"
"2024/03/07 12:12:38 PM GMT+2","Male","CIS","2.6","Last minute","Often"
"2024/03/07 1:26:03 PM GMT+2","Male","CIS","2","In advance","Sometimes"
"2024/03/07 2:05:47 PM GMT+2","Male","CIS","3.02","Last minute","Always"
"2024/03/07 6:21:09 PM GMT+2","Male","CIS","2.55","Last minute","Always"
"2024/03/07 6:22:28 PM GMT+2","Male","CIS","3.8","Last minute","Often"
"2024/03/07 6:58:46 PM GMT+2","Female","CIS","2.35","Last minute","Often"
"2024/03/07 7:09:52 PM GMT+2","Male","Engineering","3.9","Last minute","Always"
"2024/03/07 7:10:16 PM GMT+2","Male","Engineering","3.85","Last minute","Always"
"2024/03/07 7:15:28 PM GMT+2","Male","CIS","2.39","Last minute","Always"
"2024/03/07 7:18:57 PM GMT+2","Male","Digital Arts and Designs","1.8","Last minute","Always"
"2024/03/07 7:19:25 PM GMT+2","Female","CIS","3.01","In advance","Sometimes"
"2024/03/07 7:19:50 PM GMT+2","Female","CIS","3.2","In advance","Rarely"
"2024/03/07 7:20:03 PM GMT+2","Female","Digital Arts and Designs","2.7","Last minute","Often"
"2024/03/07 7:44:37 PM GMT+2","Male","CIS","2.3","Last minute","Often"
"2024/03/08 3:13:11 PM GMT+2","Female","BI","3.45","Last minute","Always"